round,x_type,slice,metric,group,client,value
0,I,last_block,cos_loo,malicious,8,0.5767270922660828
0,I,last_block,V_all,malicious,9,4.926100245938869e-06
0,I,last_block,V_loo,malicious,9,6.0816055338364094e-06
0,I,last_block,norm,malicious,9,0.4442719519138336
0,I,last_block,cos_all,malicious,9,0.7378107905387878
0,I,last_block,cos_loo,malicious,9,0.6040441393852234
0,g,head,V_all,benign,0,0.0012592843268066645
0,g,head,V_loo,benign,0,0.0015546720242127776
0,g,head,norm,benign,0,2.306251287460327
0,g,head,cos_all,benign,0,0.6348487138748169
0,g,head,cos_loo,benign,0,0.49934181571006775
0,g,head,V_all,benign,1,0.0015931144589558244
0,g,head,V_loo,benign,1,0.001966807758435607
0,g,head,norm,benign,1,2.3531570434570312
0,g,head,cos_all,benign,1,0.5105334520339966
0,g,head,cos_loo,benign,1,0.34603118896484375
0,g,head,V_all,benign,2,0.0012163271894678473
0,g,head,V_loo,benign,2,0.0015016385586932302
0,g,head,norm,benign,2,2.3128714561462402
0,g,head,cos_all,benign,2,0.6580809354782104
0,g,head,cos_loo,benign,2,0.5278846025466919
0,g,head,V_all,benign,3,0.0012382299173623323
0,g,head,V_loo,benign,3,0.0015286790439859033
0,g,head,norm,benign,3,2.376149892807007
0,g,head,cos_all,benign,3,0.682136058807373
0,g,head,cos_loo,benign,3,0.5541942715644836
0,g,head,V_all,benign,4,0.0012528235092759132
0,g,head,V_loo,benign,4,0.0015466955956071615
0,g,head,norm,benign,4,1.9298409223556519
0,g,head,cos_all,benign,4,0.42266982793807983
0,g,head,cos_loo,benign,4,0.2797311544418335
0,g,head,V_all,benign,5,0.001255194889381528
0,g,head,V_loo,benign,5,0.0015496232081204653
0,g,head,norm,benign,5,2.2225170135498047
0,g,head,cos_all,benign,5,0.5905930399894714
0,g,head,cos_loo,benign,5,0.45113852620124817
0,g,head,V_all,benign,6,0.0010473375441506505
0,g,head,V_loo,benign,6,0.0012930092634633183
0,g,head,norm,benign,6,2.0163702964782715
0,g,head,cos_all,benign,6,0.581753134727478
0,g,head,cos_loo,benign,6,0.4553789794445038
0,g,head,V_all,malicious,7,0.001024814904667437
0,g,head,V_loo,malicious,7,0.0012652036966755986
0,g,head,norm,malicious,7,2.077803373336792
0,g,head,cos_all,malicious,7,0.625745952129364
0,g,head,cos_loo,malicious,7,0.5038353800773621
0,g,head,V_all,malicious,8,0.001255285693332553
0,g,head,V_loo,malicious,8,0.0015497355489060283
0,g,head,norm,malicious,8,2.0125436782836914
0,g,head,cos_all,malicious,8,0.47058501839637756
0,g,head,cos_loo,malicious,8,0.3268665075302124
0,g,head,V_all,malicious,9,0.0010727484477683902
0,g,head,V_loo,malicious,9,0.001324380631558597
0,g,head,norm,malicious,9,1.8021585941314697
0,g,head,cos_all,malicious,9,0.44948795437812805
0,g,head,cos_loo,malicious,9,0.31966957449913025
0,g,last_block,V_all,benign,0,4.429284672369249e-05
0,g,last_block,V_loo,benign,0,5.468252857099287e-05
0,g,last_block,norm,benign,0,1.2986961603164673
0,g,last_block,cos_all,benign,0,0.664206326007843
0,g,last_block,cos_loo,benign,0,0.5426943302154541
0,g,last_block,V_all,benign,1,5.0493006710894406e-05
0,g,last_block,V_loo,benign,1,6.233704334590584e-05
0,g,last_block,norm,benign,1,1.3294272422790527
0,g,last_block,cos_all,benign,1,0.6204367876052856
0,g,last_block,cos_loo,benign,1,0.48500367999076843
0,g,last_block,V_all,benign,2,3.515991193125956e-05
0,g,last_block,V_loo,benign,2,4.340730083640665e-05
0,g,last_block,norm,benign,2,1.2166056632995605
0,g,last_block,cos_all,benign,2,0.7045800089836121
0,g,last_block,cos_loo,benign,2,0.6018811464309692
0,g,last_block,V_all,benign,3,3.766439112951048e-05
0,g,last_block,V_loo,benign,3,4.649924812838435e-05
0,g,last_block,norm,benign,3,1.2691353559494019
0,g,last_block,cos_all,benign,3,0.7172361016273499
0,g,last_block,cos_loo,benign,3,0.6126537919044495
0,g,last_block,V_all,benign,4,3.8330661482177675e-05
0,g,last_block,V_loo,benign,4,4.73218024126254e-05
0,g,last_block,norm,benign,4,1.0548248291015625
0,g,last_block,cos_all,benign,4,0.5239760875701904
0,g,last_block,cos_loo,benign,4,0.4045718014240265
0,g,last_block,V_all,benign,5,3.487473077257164e-05
0,g,last_block,V_loo,benign,5,4.305522088543512e-05
0,g,last_block,norm,benign,5,1.1590291261672974
0,g,last_block,cos_all,benign,5,0.6609869599342346
0,g,last_block,cos_loo,benign,5,0.5539379715919495
0,g,last_block,V_all,benign,6,3.562433266779408e-05
0,g,last_block,V_loo,benign,6,4.3980657210340723e-05
0,g,last_block,norm,benign,6,1.0512866973876953
0,g,last_block,cos_all,benign,6,0.559873640537262
0,g,last_block,cos_loo,benign,6,0.4462658762931824
0,g,last_block,V_all,malicious,7,3.0797335057286546e-05
0,g,last_block,V_loo,malicious,7,3.8021400541765615e-05
0,g,last_block,norm,malicious,7,1.1173632144927979
0,g,last_block,cos_all,malicious,7,0.6818113923072815
0,g,last_block,cos_loo,malicious,7,0.5837277173995972
0,g,last_block,V_all,malicious,8,3.9479888073401526e-05
0,g,last_block,V_loo,malicious,8,4.874060323345475e-05
